Symbol,Exchange,Currency,SecurityType,Sid
ADANIENT.NS,NSE,INR,STK,ADANIENT
ADANIPORTS.NS,NSE,INR,STK,ADANIPORTS
APOLLOHOSP.NS,NSE,INR,STK,APOLLOHOSP
ASIANPAINT.NS,NSE,INR,STK,ASIANPAINT
AXISBANK.NS,NSE,INR,STK,AXISBANK
BAJAJ-AUTO.NS,NSE,INR,STK,BAJAJ-AUTO
BAJFINANCE.NS,NSE,INR,STK,BAJFINANCE
BAJAJFINSV.NS,NSE,INR,STK,BAJAJFINSV
BEL.NS,NSE,INR,STK,BEL
BPCL.NS,NSE,INR,STK,BPCL
BHARTIARTL.NS,NSE,INR,STK,BHARTIARTL
BRITANNIA.NS,NSE,INR,STK,BRITANNIA
CIPLA.NS,NSE,INR,STK,CIPLA
COALINDIA.NS,NSE,INR,STK,COALINDIA
DRREDDY.NS,NSE,INR,STK,DRREDDY
EICHERMOT.NS,NSE,INR,STK,EICHERMOT
GRASIM.NS,NSE,INR,STK,GRASIM
HCLTECH.NS,NSE,INR,STK,HCLTECH
HDFCBANK.NS,NSE,INR,STK,HDFCBANK
HDFCLIFE.NS,NSE,INR,STK,HDFCLIFE
HEROMOTOCO.NS,NSE,INR,STK,HEROMOTOCO
HINDALCO.NS,NSE,INR,STK,HINDALCO
HINDUNILVR.NS,NSE,INR,STK,HINDUNILVR
ICICIBANK.NS,NSE,INR,STK,ICICIBANK
ITC.NS,NSE,INR,STK,ITC
INDUSINDBK.NS,NSE,INR,STK,INDUSINDBK
INFY.NS,NSE,INR,STK,INFY
JSWSTEEL.NS,NSE,INR,STK,JSWSTEEL
KOTAKBANK.NS,NSE,INR,STK,KOTAKBANK
LT.NS,NSE,INR,STK,LT
LTIM.NS,NSE,INR,STK,LTIM
M&M.NS,NSE,INR,STK,M&M
MARUTI.NS,NSE,INR,STK,MARUTI
NESTLEIND.NS,NSE,INR,STK,NESTLEIND
NTPC.NS,NSE,INR,STK,NTPC
ONGC.NS,NSE,INR,STK,ONGC
POWERGRID.NS,NSE,INR,STK,POWERGRID
RELIANCE.NS,NSE,INR,STK,RELIANCE
SBILIFE.NS,NSE,INR,STK,SBILIFE
SBIN.NS,NSE,INR,STK,SBIN
SUNPHARMA.NS,NSE,INR,STK,SUNPHARMA
TATACONSUM.NS,NSE,INR,STK,TATACONSUM
TATASTEEL.NS,NSE,INR,STK,TATASTEEL
TCS.NS,NSE,INR,STK,TCS
TECHM.NS,NSE,INR,STK,TECHM
TITAN.NS,NSE,INR,STK,TITAN
ULTRACEMCO.NS,NSE,INR,STK,ULTRACEMCO
WIPRO.NS,NSE,INR,STK,WIPRO
