Field,StrategyOrDate,MOMENTUM_WINDOW,Value
Cagr,umd-demo,252,0.1375831017887068
Cagr,umd-demo,126,0.2364321786293222
Cagr,umd-demo,63,0.20826542089594358
Sharpe,umd-demo,252,1.1904371821980309
Sharpe,umd-demo,126,1.7905747510603518
Sharpe,umd-demo,63,1.6319348221756298
MaxDrawdown,umd-demo,252,-0.08199285472872209
MaxDrawdown,umd-demo,126,-0.11408748216809905
MaxDrawdown,umd-demo,63,-0.11408748216809894
AbsExposure,umd-demo,252,1.0
AbsExposure,umd-demo,126,1.0
AbsExposure,umd-demo,63,1.0
NormalizedCagr,umd-demo,252,0.1375831017887068
NormalizedCagr,umd-demo,126,0.2364321786293222
NormalizedCagr,umd-demo,63,0.20826542089594358
TotalHoldings,umd-demo,252,6.0
TotalHoldings,umd-demo,126,6.0
TotalHoldings,umd-demo,63,6.0
AggReturn,2018-01-02 00:00:00,252,0.0019274818696339
AggReturn,2018-01-02 00:00:00,126,-0.0003785686901317
AggReturn,2018-01-02 00:00:00,63,0.0012686398396316
AggReturn,2018-01-03 00:00:00,252,0.0018757572590857
AggReturn,2018-01-03 00:00:00,126,0.0007342682978827
AggReturn,2018-01-03 00:00:00,63,-0.002130645419879
AggReturn,2018-01-04 00:00:00,252,-0.0052458565800844
AggReturn,2018-01-04 00:00:00,126,-0.0052458565800844
AggReturn,2018-01-04 00:00:00,63,-0.0019710413590221
AggReturn,2018-01-05 00:00:00,252,0.0015842067250974
AggReturn,2018-01-05 00:00:00,126,0.0015842067250974
AggReturn,2018-01-05 00:00:00,63,0.0031268403902187
AggReturn,2018-01-08 00:00:00,252,-0.0015141858622574
AggReturn,2018-01-08 00:00:00,126,-0.0015141858622574
AggReturn,2018-01-08 00:00:00,63,0.005087627246279
AggReturn,2018-01-09 00:00:00,252,0.0022456365298498
AggReturn,2018-01-09 00:00:00,126,0.0022456365298498
AggReturn,2018-01-09 00:00:00,63,-0.0026030227333806
AggReturn,2018-01-10 00:00:00,252,-0.0062321341490012
AggReturn,2018-01-10 00:00:00,126,-0.0062321341490012
AggReturn,2018-01-10 00:00:00,63,0.0003492251525744
AggReturn,2018-01-11 00:00:00,252,0.0095149954715019
AggReturn,2018-01-11 00:00:00,126,0.0095149954715019
AggReturn,2018-01-11 00:00:00,63,-0.0028098709512978
AggReturn,2018-01-12 00:00:00,252,0.0004778239652254
AggReturn,2018-01-12 00:00:00,126,0.0004778239652254
AggReturn,2018-01-12 00:00:00,63,-0.0001838666704998
AggReturn,2018-01-16 00:00:00,252,-0.0014999801222637
AggReturn,2018-01-16 00:00:00,126,-0.0014999801222637
AggReturn,2018-01-16 00:00:00,63,0.0073969497439712
AggReturn,2018-01-17 00:00:00,252,-0.0041700077891295
AggReturn,2018-01-17 00:00:00,126,-0.0041700077891295
AggReturn,2018-01-17 00:00:00,63,-0.0005807486586072
AggReturn,2018-01-18 00:00:00,252,-0.0011858335178059
AggReturn,2018-01-18 00:00:00,126,-0.0011858335178059
AggReturn,2018-01-18 00:00:00,63,0.0108023703551179
AggReturn,2018-01-19 00:00:00,252,-0.003570765960476
AggReturn,2018-01-19 00:00:00,126,-0.003570765960476
AggReturn,2018-01-19 00:00:00,63,0.002662453187363
AggReturn,2018-01-22 00:00:00,252,-0.0022889941536106
AggReturn,2018-01-22 00:00:00,126,-0.0022889941536106
AggReturn,2018-01-22 00:00:00,63,-0.0029279319455187
AggReturn,2018-01-23 00:00:00,252,0.0002382221036454
AggReturn,2018-01-23 00:00:00,126,0.0002382221036454
AggReturn,2018-01-23 00:00:00,63,0.0030289796742688
AggReturn,2018-01-24 00:00:00,252,0.0050426688012847
AggReturn,2018-01-24 00:00:00,126,0.0050426688012847
AggReturn,2018-01-24 00:00:00,63,-0.0063716142399955
AggReturn,2018-01-25 00:00:00,252,-0.0002746787849688
AggReturn,2018-01-25 00:00:00,126,-0.0002746787849688
AggReturn,2018-01-25 00:00:00,63,-0.0083317745581139
AggReturn,2018-01-26 00:00:00,252,-0.0050117343804376
AggReturn,2018-01-26 00:00:00,126,-0.0050117343804376
AggReturn,2018-01-26 00:00:00,63,0.001295847554371
AggReturn,2018-01-29 00:00:00,252,0.0034633441297864
AggReturn,2018-01-29 00:00:00,126,0.0034633441297864
AggReturn,2018-01-29 00:00:00,63,0.0021549438918509
AggReturn,2018-01-30 00:00:00,252,-0.004253528273911
AggReturn,2018-01-30 00:00:00,126,-0.004253528273911
AggReturn,2018-01-30 00:00:00,63,-0.0062298334971858
AggReturn,2018-01-31 00:00:00,252,0.0017207259127263
AggReturn,2018-01-31 00:00:00,126,0.0017207259127263
AggReturn,2018-01-31 00:00:00,63,0.00550560218645
AggReturn,2018-02-01 00:00:00,252,0.0022503661275768
AggReturn,2018-02-01 00:00:00,126,0.0022387702082364
AggReturn,2018-02-01 00:00:00,63,-0.0011141824847093
AggReturn,2018-02-02 00:00:00,252,0.0041365047719953
AggReturn,2018-02-02 00:00:00,126,0.0032762712371477
AggReturn,2018-02-02 00:00:00,63,0.0041365047719953
AggReturn,2018-02-05 00:00:00,252,-0.0185806286003609
AggReturn,2018-02-05 00:00:00,126,-0.0171350867113063
AggReturn,2018-02-05 00:00:00,63,-0.0185806286003609
AggReturn,2018-02-06 00:00:00,252,0.0023030122992353
