portfolio_id,portfolio,method,live_ai,start_date,end_date,n_trading_days,n_rebalances,total_return_pct,annualised_return_pct,sharpe_ratio,max_drawdown_pct,hhi,ai_call_count,ai_fallback_count,weight_stability
21,Aggressive Growth,equal_weight,no,2025-01-02,2025-12-19,251,11,53.5695,53.8322,3.0208,-6.9534,0.333727,,,
21,Aggressive Growth,score_weighted,no,2025-01-02,2025-12-19,251,11,51.9385,52.192,2.9459,-7.4532,0.335048,,,
21,Aggressive Growth,ai_weighted,yes,2025-01-02,2025-12-19,251,11,58.1091,58.3979,2.4811,-11.9774,0.436171,12,0,0.220602
22,Market Neutral,equal_weight,no,2025-01-02,2025-12-19,251,11,4.1273,4.1441,0.7951,-5.2177,0.333499,,,
22,Market Neutral,score_weighted,no,2025-01-02,2025-12-19,251,11,3.8952,3.911,0.7707,-4.9771,0.334941,,,
22,Market Neutral,ai_weighted,yes,2025-01-02,2025-12-19,251,11,8.5408,8.5762,1.3789,-4.619,0.506897,12,0,0.271403
23,Defensive Income,equal_weight,no,2025-01-02,2025-12-19,251,11,2.2933,2.3025,0.4151,-8.3178,0.333561,,,
23,Defensive Income,score_weighted,no,2025-01-02,2025-12-19,251,11,2.3689,2.3785,0.4387,-7.7115,0.337055,,,
23,Defensive Income,ai_weighted,yes,2025-01-02,2025-12-19,251,11,7.4105,7.4411,1.1635,-4.0539,0.435376,12,0,0.185138
24,All-Weather Diversified,equal_weight,no,2025-01-02,2025-12-19,251,11,21.3897,21.4835,3.2388,-2.2338,0.125127,,,
24,All-Weather Diversified,score_weighted,no,2025-01-02,2025-12-19,251,11,22.3853,22.4838,3.2023,-2.4527,0.130205,,,
24,All-Weather Diversified,ai_weighted,yes,2025-01-02,2025-12-19,251,11,38.1327,38.3106,2.935,-6.8252,0.210031,12,0,0.099371
31,Alpha Fund,equal_weight,no,2025-01-02,2025-12-19,251,11,14.0015,14.061,1.8348,-8.4466,0.200036,,,
31,Alpha Fund,score_weighted,no,2025-01-02,2025-12-19,251,11,13.5164,13.5737,1.7761,-8.6494,0.201925,,,
31,Alpha Fund,ai_weighted,yes,2025-01-02,2025-12-19,251,11,12.5337,12.5866,1.4298,-10.2854,0.296306,12,0,0.130348
32,Diversified Fund,equal_weight,no,2025-01-02,2025-12-19,251,11,14.3823,14.4435,2.5398,-5.7424,0.100156,,,
32,Diversified Fund,score_weighted,no,2025-01-02,2025-12-19,251,11,13.8284,13.8872,2.4324,-5.7918,0.101357,,,
32,Diversified Fund,ai_weighted,yes,2025-01-02,2025-12-19,251,11,17.3688,17.4437,2.2036,-6.5278,0.197256,12,0,0.087434
